Stop_Order,City,State,Item
34,Mumbai Dock,Maharashtra,Central warehouse and dispatch hub
33,Jaipur,Rajasthan,Designer lehengas and sarees
30,Leh,Ladakh,Adventure gear
29,Shimla,Himachal Pradesh,Heavy-duty winter gear
28,Chandigarh,Chandigarh,Versatile casual clothing
28,Chandigarh,Punjab,Thermal wear
28,Chandigarh,Haryana,Activewear
27,Dehradun,Uttarakhand,Outdoor and trekking apparel
26,New Delhi,Delhi,Modern and chic urban fashion
25,Lucknow,Uttar Pradesh,Chikankari embroidery wear
24,Ranchi,Jharkhand,Everyday casual clothing
23,Bhubaneswar,Odisha,Ethnic and casual wear
22,Kolkata,West Bengal,Festive sarees
21,Agartala,Tripura,Handloom sarees
20,Aizawl,Mizoram,Ceremonial and cultural attire
19,Imphal,Manipur,Traditional handwoven garments
18,Kohima,Nagaland,Accessories
17,Itanagar,Arunachal Pradesh,Winter essentials
16,Shillong,Meghalaya,Rain-resistant apparel
15,Dispur,Assam,Lightweight cotton clothing
14,Gangtok,Sikkim,Hiking and trekking gear
13,Patna,Bihar,Formal office wear
12,Raipur,Chhattisgarh,Comfortable and casual clothing
11,Bhopal,Madhya Pradesh,Multi-purpose clothing
10,Hyderabad,Telangana,Modern fashion
9,Bengaluru,Karnataka,Trendy and modern urban fashion
8,Chennai,Tamil Nadu,Light cotton wear
7,Puducherry,Puducherry,Relaxed summer clothing
6,Thiruvananthapuram,Kerala,Cotton and linen wear
5,Kavaratti,Lakshadweep,Light cotton wear
4,Panaji,Goa,Summer and beachwear
3,Daman,Dadra and Nagar Haveli and Daman and Diu,Summer-friendly outfits
2,Gandhinagar,Gujarat,Vibrant festive wear
1,Mumbai Dock,Maharashtra,Central warehouse and dispatch hub
